zip,temp-sun-6,condition-sun-6,temp-mon-9,condition-mon-9,temp-mon-12,condition-mon-12,temp-mon-3,condition-mon-3,temp-mon-6,condition-mon-6,temp-tues-9,condition-tues-9,temp-tues-12,condition-tues-12,temp-tues-3,condition-tues-3,temp-tues-6,condition-tues-6
32208,67,Overcast,70,Mostly Cloudy,76,Mostly Cloudy,75,Mostly Cloudy,70,Partly Cloudy,66,Partly Cloudy,74,Partly Cloudy,74,Partly Cloudy,68,Clear
32209,68,Overcast,70,Mostly Cloudy,76,Mostly Cloudy,75,Mostly Cloudy,70,Partly Cloudy,66,Partly Cloudy,75,Partly Cloudy,74,Partly Cloudy,68,Clear
32210
32211
32212,69,Mostly Cloudy,72,Mostly Cloudy,77,Mostly Cloudy,76,Mostly Cloudy,73,Mostly Cloudy,68,Mostly Cloudy,75,Mostly Cloudy,75,Partly Cloudy,71,Partly Cloudy
32214,70,Mostly Cloudy,72,Mostly Cloudy,77,Mostly Cloudy,76,Mostly Cloudy,73,Mostly Cloudy,68,Mostly Cloudy,75,Mostly Cloudy,75,Partly Cloudy,71,Partly Cloudy
32215
32216,69,Overcast,72,Mostly Cloudy,76,Mostly Cloudy,75,Overcast,71,Partly Cloudy,68,Mostly Cloudy,75,Mostly Cloudy,74,Partly Cloudy,70,Partly Cloudy
32217,69,Mostly Cloudy,72,Mostly Cloudy,76,Mostly Cloudy,75,Overcast,71,Mostly Cloudy,69,Mostly Cloudy,74,Mostly Cloudy,74,Partly Cloudy,70,Partly Cloudy
32218,67,Overcast,71,Mostly Cloudy,75,Mostly Cloudy,74,Overcast,69,Partly Cloudy,66,Partly Cloudy,74,Mostly Cloudy,73,Partly Cloudy,66,Partly Cloudy
32219,68,Overcast,69,Partly Cloudy,76,Mostly Cloudy,75,Overcast,69,Mostly Cloudy,65,Partly Cloudy,74,Partly Cloudy,74,Partly Cloudy,67,Clear
32220,67,Chance of Rain,68,Mostly Cloudy,75,Mostly Cloudy,74,Mostly Cloudy,69,Mostly Cloudy,65,Partly Cloudy,74,Mostly Cloudy,74,Partly Cloudy,67,Partly Cloudy
32221,68,Overcast,69,Mostly Cloudy,75,Mostly Cloudy,74,Overcast,68,Mostly Cloudy,65,Partly Cloudy,74,Mostly Cloudy,74,Partly Cloudy,67,Partly Cloudy
32222,68,Overcast,69,Mostly Cloudy,76,Mostly Cloudy,75,Overcast,70,Mostly Cloudy,66,Partly Cloudy,74,Mostly Cloudy,75,Partly Cloudy,68,Partly Cloudy
32223,70,Mostly Cloudy,72,Mostly Cloudy,77,Mostly Cloudy,76,Overcast,72,Mostly Cloudy,69,Mostly Cloudy,75,Mostly Cloudy,75,Partly Cloudy,70,Partly Cloudy
32224,69,Overcast,73,Mostly Cloudy,75,Mostly Cloudy,74,Overcast,70,Mostly Cloudy,71,Mostly Cloudy,73,Mostly Cloudy,72,Partly Cloudy,68,Partly Cloudy
32225
32226,67,Overcast,72,Mostly Cloudy,75,Mostly Cloudy,74,Overcast,69,Partly Cloudy,68,Mostly Cloudy,74,Mostly Cloudy,72,Partly Cloudy,67,Partly Cloudy
32227
32228
32229,68,Mostly Cloudy,72,Mostly Cloudy,76,Mostly Cloudy,75,Overcast,71,Partly Cloudy,67,Partly Cloudy,75,Mostly Cloudy,74,Partly Cloudy,69,Partly Cloudy
32230
32231
32232
32233,70,Overcast,73,Mostly Cloudy,74,Mostly Cloudy,73,Mostly Cloudy,70,Partly Cloudy,71,Mostly Cloudy,73,Mostly Cloudy,72,Partly Cloudy,68,Partly Cloudy
32234,67,Mostly Cloudy,68,Mostly Cloudy,76,Mostly Cloudy,75,Mostly Cloudy,68,Partly Cloudy,64,Partly Cloudy,74,Mostly Cloudy,75,Mostly Cloudy,67,Partly Cloudy
32235,68,Mostly Cloudy,72,Mostly Cloudy,76,Mostly Cloudy,75,Overcast,71,Partly Cloudy,67,Partly Cloudy,75,Mostly Cloudy,74,Partly Cloudy,69,Partly Cloudy
32236,68,Mostly Cloudy,72,Mostly Cloudy,76,Mostly Cloudy,75,Overcast,71,Partly Cloudy,67,Partly Cloudy,75,Mostly Cloudy,74,Partly Cloudy,69,Partly Cloudy
32237,68,Mostly Cloudy,72,Mostly Cloudy,76,Mostly Cloudy,75,Overcast,71,Partly Cloudy,67,Partly Cloudy,75,Mostly Cloudy,74,Partly Cloudy,69,Partly Cloudy
32238
32239
32240,69,Overcast,71,Mostly Cloudy,76,Mostly Cloudy,75,Mostly Cloudy,71,Mostly Cloudy,67,Mostly Cloudy,74,Mostly Cloudy,74,Partly Cloudy,69,Partly Cloudy
32241,69,Overcast,71,Mostly Cloudy,76,Mostly Cloudy,75,Mostly Cloudy,71,Mostly Cloudy,67,Mostly Cloudy,74,Mostly Cloudy,74,Partly Cloudy,69,Partly Cloudy
32244,68,Mostly Cloudy,70,Mostly Cloudy,76,Mostly Cloudy,76,Overcast,71,Mostly Cloudy,67,Partly Cloudy,75,Mostly Cloudy,75,Partly Cloudy,70,Partly Cloudy
32245,68,Mostly Cloudy,72,Mostly Cloudy,76,Mostly Cloudy,75,Overcast,71,Partly Cloudy,67,Partly Cloudy,75,Mostly Cloudy,74,Partly Cloudy,69,Partly Cloudy
32246,71,Overcast,72,Mostly Cloudy,76,Mostly Cloudy,74,Mostly Cloudy,70,Mostly Cloudy,71,Mostly Cloudy,74,Mostly Cloudy,73,Partly Cloudy,68,Partly Cloudy
32247,68,Mostly Cloudy,72,Mostly Cloudy,76,Mostly Cloudy,75,Overcast,71,Partly Cloudy,67,Partly Cloudy,75,Mostly Cloudy,74,Partly Cloudy,69,Partly Cloudy
32250,70,Overcast,73,Mostly Cloudy,75,Mostly Cloudy,74,Overcast,71,Mostly Cloudy,72,Mostly Cloudy,73,Mostly Cloudy,72,Partly Cloudy,69,Partly Cloudy
32254,68,Mostly Cloudy,69,Mostly Cloudy,76,Mostly Cloudy,75,Mostly Cloudy,69,Partly Cloudy,66,Partly Cloudy,74,Mostly Cloudy,74,Partly Cloudy,67,Partly Cloudy
32255
